audio_array,translated_text
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.01599503e-05
 2.92658806e-05 3.15904617e-05]",Two Olympic Gold Medal Trouble Winner Gauli Jodaka ProdoCi Seattosy has been carried at 54 years old
"[ 0.          0.          0.         ... -0.00079954 -0.00069946
 -0.00085461]",It's U.S.Another Raast Lamir has been assigning a thousand ground and based on Nagazas's Seleo
[0.         0.         0.         ... 0.0054853  0.00614619 0.00308263],The Tower was special back for God at the top
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.91685486e-05
 1.87635422e-04 2.83002853e-04]",This idea came from China to the plans of peel flowers were a flower of thanks
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.06963921e-05
  4.01735306e-05  8.59498978e-05]",A list of available wheels are sometimes provided on previous with other travelers and reviewed.
"[ 0.          0.          0.         ... -0.00743216 -0.00669098
 -0.00673932]",There is many French won for drinking but New Zealand and Australia's Wayen can get better
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.77161598e-05
 -1.96099281e-05 -1.76429749e-05]","To pronounce R and RR differently accepting different: Cars spoke to the Carro, Jew does not understand the carcor when carro is chariot."
"[ 0.          0.          0.         ... -0.00052398  0.00064802
 -0.00020039]","The workers need only to approval of their decay for any of their declarats, and it will be expected to obey the command of high officials without no questions."
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -5.01275063e-05
 -3.56435776e-05 -2.96831131e-05]",The Japanese merchandise and actor MultiI says that it was aware of 27 accidents concerning these device.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.55651093e-06
 5.59687614e-05 9.45329666e-05]",Begain from the distance from the distance of the racer miles extra important and may have the ability to continue to continue to meet
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.23517418e-05
 -1.50799751e-05 -5.38229942e-05]",This can be required to fill a form to fill or immigration office next to the local pulius.
"[ 0.          0.          0.         ... -0.0231865  -0.02139449
 -0.02291292]",If you are not a diplomaticity usually means to work abroad that the country you are in is to file in the country you are.
[0.         0.         0.         ... 0.00038242 0.00053447 0.00075287],British in an abdominal attack from an accidental attack from an abdominal assault in a barde. The Vearch of Italy captured
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 4.07099724e-05
 3.27825546e-05 4.59551811e-05]",Twin Outer yesterday was to land at Konzada yesterday pienzi-Flight cisi 4684 but left it once before
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  4.29749489e-05
 -2.99274921e-04  2.75194645e-04]",The nature of the roman empire helped the development treatment
"[ 0.          0.          0.         ... -0.00065333 -0.00062972
 -0.00064886]",Cticv must will make a strong code of living beside the living creature of the living.
"[ 0.          0.          0.         ... -0.00114578 -0.0005759
 -0.0011794 ]",The Roosix Ground Control Jets activated and the station had a general position.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.51667404e-06
 -3.33786011e-06 -6.13927841e-06]",The larger vehicles are not like the vehicles you may be used to your car and know its limitations.
[0.         0.         0.         ... 0.00447392 0.00433791 0.00477332],"There is only one value from two value in a two-digit numbers such as 0 or 1 or 1, both called double digit numbers or bits on the computer."
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.56299973e-06
 1.18017197e-05 1.69873238e-05]",Copy your friends with a relative of your friendship also willing or related to the related to help.
"[ 0.          0.          0.         ... -0.00093585 -0.00093889
 -0.00095665]",Calezin Dail the Eyos of Kisses.There is only 2 Baalgonas separated by 69ults that are home balcony that is home's home to an old love feemer.
[0.         0.         0.         ... 0.00149649 0.0012365  0.00126433],Tark not physically harmed and convertly with a blacision of a black co character with his sign to and to read the lower case I.
[0.         0.         0.         ... 0.01860571 0.01726842 0.01862347],No 1 good ways to learn frequent in the modern posttoll method for learning.
[0.         0.         0.         ... 0.01599789 0.01566464 0.01537263],The United States said that is noted from one------operated source in Ethioti blasts in Ethiopiracy Blasts
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -8.04066658e-05
 -4.28795815e-04  1.71464682e-03]",The cell is the basic single of all the lives of life and all the creatures are made up of one or more cells.
[0.         0.         0.         ... 0.00022393 0.00023299 0.0001359 ],They were given water because the travelers waited in heating heat.
[0.         0.         0.         ... 0.0063464  0.00386083 0.01101398],Lockwood Gardens thinks that they may also be exposed to expose that they know that the oich this police are investing the public's home property in Oakland that can be caught in a horseying schoo.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 7.86185265e-05
 1.24752522e-04 2.46822834e-04]",Booking for direct airline directly from researching and value without comparing value without comparing value
"[ 0.          0.          0.         ... -0.00020546 -0.00039947
 -0.00049657]",The defendants when the defendants were the Baba Kanth Kancher's Rampro Kanner and Visua Cajar
"[ 0.          0.          0.         ...  0.00022763 -0.00025523
 -0.00031483]",This requires the interactive designs that you re-rating your location concerning your media and learn to worry in an in account
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.59823418e-05
 6.26444817e-05 6.98566437e-05]",It needs to be earned from the light to return to her former energy level.
[0.         0.         0.         ... 0.00157022 0.00117338 0.0009169 ],They were very slow in World War and Second World War and they were very slower and their shooting bast limits were limited to
[0.         0.         0.         ... 0.00115633 0.0010854  0.00129062],The Chinese News Again Chinese Geneshya reported a raid.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.68085098e-05
 1.53779984e-05 1.71661377e-05]",It was a significant change in the fruit because the end of a religious wars had an epicer of religious warfite of war-war fighters the title of the religious war fighters
"[ 0.          0.          0.         ... -0.00010371 -0.00013334
 -0.00016439]",This behavior produces the rulers and remaining parts
[0.         0.         0.         ... 0.00022471 0.00010687 0.00027537],It has also been upgraded to any of the Big Sentorship rules that are not on Linux sensatiotions because Big part of the benefits were not able to be stored on the website.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.13384628e-05
 -2.05039978e-05 -2.14576721e-05]",A world fair usually is only called Exposed Exploration is a great international festival of black and science.
"[ 0.00000000e+00  0.00000000e+00 -5.96046448e-08 ...  2.18266249e-03
  2.44462490e-03  2.78264284e-03]",Avestment is made up of the potents are also shorter than that!
"[ 0.          0.          0.         ... -0.00107968  0.00045604
 -0.0010801 ]",This earthquake is a declarted about $ 20 km from the North-Art-Reply-between the North-Art-Annad 15 Yiles and boots and scale 40s out of 6 million 15th.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -5.56111336e-05
 -6.17504120e-05 -5.78165054e-05]","Equipped to learn to create in common media, to be discussed in Sampless Sadage Sadudsatra."
[0.         0.         0.         ... 0.0022279  0.00363588 0.00408959],May the skapolds can both virtual and real asked a teacher of a type of schofold and Microsoft Officer Paperclip Man also a type of skipal.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  3.77297401e-05
  6.07609749e-04 -6.21438026e-04]",Then Edanbul State Symphony Orchestra was having a janisary band and singer fallery fital
"[ 0.00000000e+00  0.00000000e+00  5.96046448e-08 ... -4.50611115e-05
  8.99434090e-05  2.49922276e-04]",The Attitation Divice Disard is an Sunupable syndrome whose classic can be found to have distractions and extreme verification or extreme forces or extreme forces.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.87430191e-06
 1.45435333e-05 1.08480453e-05]",Gas becomes more thin with a go from the center of the sun.
[0.         0.         0.         ... 0.01583296 0.01479203 0.01639175],Dark Energy is a perfectly invisible force that is always working on the universe.
"[ 0.          0.          0.         ... -0.00339991 -0.00296998
 -0.00310707]",It is difficult to accept the performance of taking up the length of discipline to take up the existence in this kind of manager. And it is difficult to blame people.
"[ 0.          0.          0.         ... -0.00747102 -0.00746953
 -0.00816149]",It called a election of the state government as the center government funds at the number of clients' in Tasmani's Davone.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.62260437e-05
 -5.59091568e-05 -7.36713409e-05]",Infored ewsws show that night indicates differentness at night and day shower. They are a dick.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.19345093e-05
 4.64320183e-05 2.22325325e-05]",The new zealand police was in the problem using a gun using a gun and the raid when the Red when the Red when Red had ruled from the 160 works / hour speed when the red.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.70740891e-05
 3.31997871e-05 1.46627426e-05]",It can be influenced by lime he could be affected by the wind and the waves
[0.         0.         0.         ... 0.00130457 0.00176853 0.00408244],Sports Publisher Consoon in a Japanese news paper they will not continue to play 6 days in the Falaja.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.34706497e-05
 6.55651093e-06 5.92470169e-05]",You can also find metal of the German underlybodic united partgan and also you can also find metal of the map of unintended materials.
[0.         0.         0.         ... 0.00268269 0.0006246  0.00192827],A section of more various types of pre-made foods are also living a microwave ovon or other way to warm the food.
"[ 0.          0.          0.         ... -0.00263029 -0.00298685
  0.00373793]",The phrase won the pretest pole pole hinder to end his campaign
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.28421593e-05
 3.14712524e-05 3.51667404e-05]","Only one of the 24,000 known ulkapind has been duscied only one of the 24,000 well-known ulkapind"
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.14440918e-05
  3.21865082e-06 -1.13844872e-05]",Anyway he also had a system system of Ro V Wede land was a systematic law of the overall cop of the strong curricular Cit.
"[ 0.          0.          0.         ...  0.00089025 -0.00078201
  0.00032806]","Although some scholars are also to say that it was now logical cvinable when some scholars called civilization, the first exit of the remaining intervielease was done in the 1920s."
"[ 0.          0.          0.         ...  0.00094151 -0.00057966
  0.00058699]",2010 Atlantic Hurrychen Tropical Spine Daid daniel Created on the East Atlantic Ocean
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.11748886e-04
  1.23798847e-04 -6.75916672e-05]","National Central Center NHC SKC ""At this time Jerry has no trembling."
"[ 0.          0.          0.         ... -0.00017387  0.00141966
  0.00110292]",A baby dot date for any start date is will be available in 1 January
"[ 0.00000000e+00 -5.96046448e-08 -2.98023224e-07 ... -2.70003080e-03
 -5.51569462e-03 -6.20239973e-03]",Small and fingerings are straightforwards of human hands and fingers are forsakes
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -9.95993614e-05
 -1.63316727e-04 -1.97887421e-04]",More than 4 million people were rome to join the end
[0.         0.         0.         ... 0.00811052 0.00833637 0.01017129],The patrons described the BYBILE AFTER THE ASS AWARG AFS AWAKE AFTER THE CONTENT IS BY THE COMPETAIL HANDS CONTINAL AND MAKING TO THE CITIZATIONAL SURPERT HARBRHROG
[0.         0.         0.         ... 0.0001058  0.00015038 0.0001626 ],The contagious disease itself or dangerous animals that can be injured or killed or killed as perception.
"[ 5.96046448e-08 -5.96046448e-08  5.96046448e-08 ... -6.30974770e-04
 -5.22077084e-04 -1.62363052e-04]","Check with the immigration or institution of the country of integration, sector as you would to study for a thorough needs."
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.30073929e-05
 1.35838985e-04 5.53131104e-05]",These Nural impulses may be sent to the body so soon that it helps to keep it protectioning a body among a possible ramics
"[ 5.96046448e-08  0.00000000e+00  0.00000000e+00 ... -2.21771002e-03
 -2.32356787e-03 -2.57420540e-03]",This manner of fatally straw flu round about Mondar is also be shown in the east side of the Fannah on Mondar on Monday Gase.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.12128258e-03
 -5.14984131e-05  6.11424446e-04]","The persuasive taily that is not the answer to the external subsequent code only for many animals, including many animals, including special capitals flat and bro."
[0.         0.         0.         ... 0.00097418 0.00063378 0.00149912],Enjoice some of the best sking in a North America on the coldest area and see some authentication roundbling by the summer seat
"[ 0.          0.          0.         ...  0.00053489 -0.00045007
  0.00083309]",That provides ascendant to the igniter but the advantagers remain security thoughts because it is the potential of stuck between them.
"[ 0.          0.          0.         ... -0.00164944 -0.00086892
 -0.00102949]",The mysticism is an extreme reality of reality is the predication of contact with spiritual truth or god.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.13980675e-05
 2.02655792e-05 2.26497650e-05]",Those who slept with many decresholds helped our energy and Aggon when properly evaluated
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.19209290e-06
 -1.78813934e-06 -3.39746475e-06]",Guarani is the most important giants living in the former paraguent now they lived as a hunter who was farming for one's needs.
"[ 0.          0.          0.         ... -0.00305986 -0.00285274
 -0.00299484]",07:19 A.m in earthquake maruraWas.Local time 09:19 p.m.GMT Friday
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.53455544e-05
 3.18288803e-05 4.52399254e-05]",Many government times the country you enter their country requires making virtual disruptimans enter various diseases.
"[ 0.00000000e+00  5.96046448e-08  1.19209290e-07 ... -6.25306368e-03
 -7.80987740e-03 -9.38147306e-03]","The Crown Office in charge of all legal action, that at least will not be given any comments until the accusation is submitted."
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.65777111e-04
  5.17368317e-05 -2.82585621e-04]",Toky to host 2 Smergy Ompting Month of 1964
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  5.60879707e-05
  1.77383423e-04 -3.33189964e-05]",Looking forward to seeing the proof of the damage that is only headed from the coffle of the coffle to cut the mommy and shoulders.
"[ 0.00000000e+00  5.96046448e-08  1.78813934e-07 ... -3.93486023e-03
 -3.92276049e-03 -4.61101532e-03]",This is a scheck a story for this.If the skirt is on the right of the right if the skoter turned left if the skoter turned left.
[0.         0.         0.         ... 0.00161588 0.00131774 0.00107265],Around 60 events reported because of the Ipade that has been made up to a fire and 4 people have a little burnt
"[ 0.          0.          0.         ...  0.00028723 -0.00036067
 -0.00120324]",Suggestor are only a short smallized content of one international situation.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.84314156e-05
 2.68220901e-05 2.87890434e-05]",They do this by a very shortest lighting surroundings called Photons
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.38418579e-05
 -2.25305557e-05 -2.53319740e-05]",The contagious disease is a disease that is easily infected person.
"[ 0.          0.          0.         ... -0.00030982 -0.00091422
 -0.0011192 ]","The whirlboo wove was barking the winds every 240 km per 240 km per 39 miles.Which is called a diameter of the continent language, the diamola is named."
"[ 0.          0.          0.         ...  0.00085342  0.00040329
 -0.00020576]","Most ticket costs about an ordinary ticket is expected to be rated ¥ ¥ ¥ ୭୭ ¥୭,000."
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.38418579e-06
 -8.28504562e-06 -7.03334808e-06]",By opening the varation is reduced by opening the valy and over a pad upon a pad.
[0.         0.         0.         ... 0.00628394 0.00565141 0.00611359],The European effect and colonial effect from the Portuguese investing vacco Europe to discover India.
[0.         0.         0.         ... 0.00012457 0.00012368 0.0001542 ],We have consideradrated about some of the past and intevity stories that are on which obsessing the individual to do good and sorry performance.
[0.         0.         0.         ... 0.00200206 0.00156635 0.00265598],"And threefolds are surrounded by Turkey surrounding the walw the government in the north, the Shaman In the north of the Corin sea"
"[ 0.          0.          0.         ... -0.0007636   0.00068444
 -0.00077099]",Accordingly in such optimal establishments in such optimal establishments or can find one of the luxurious beds as an ancient pull
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.51084566e-03
 -1.97887421e-05  2.11215019e-03]",Of course a first-mile runner is a person who can exceed this distance in less than 2 minutes and he must have been practiced in all dangers.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 9.65535641e-04
 1.07514858e-03 1.43647194e-05]",No degrade of sun like earth that you can stand up the whole sun gas fire and made from plasma.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 4.95314598e-05
 4.73260880e-05 5.26309013e-05]",The Simonyus worked in different positions in a number of showers before the Simption
"[ 0.          0.          0.         ... -0.00011116 -0.0001052
 -0.000117  ]",The Sapinics has been set as a long story of a long story
"[ 0.          0.          0.         ... -0.00016701 -0.00015384
 -0.00016487]",The sample Christian Father Waf is on a place of anome's several space
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.57356262e-05
 2.10404396e-05 3.06963921e-05]",This is not a learning disability it is a learning chaos it is more than 3 percent of all baby affects about 2 million Americans.
"[ 0.          0.          0.         ... -0.00033039 -0.00070858
 -0.00102228]",The luck and thin wall that's not able to stop a uncomfortable attack for a long time.
"[ 0.          0.          0.         ... -0.00044143 -0.00041366
 -0.00046521]",The birds of food reduces the pasture of food reduce phases the birds are temporary nests in this stage that changes everyday.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.32918358e-05
 -1.16229057e-05 -1.20997429e-05]",Oil one performs to pelize a nitt oil exports exports. Even a percent of an oil work in oil industry
[0.         0.         0.         ... 0.01397115 0.01331711 0.0143019 ],Beach theme parks and camp bushes often are the most common place of the
"[ 0.          0.          0.         ... -0.00103724  0.00098741
 -0.00059861]",2010 Atlantic Hurrychen Tropical Spine Daid daniel Created on the East Atlantic Ocean
"[ 0.          0.          0.         ... -0.00011659 -0.00010955
 -0.00012064]",Sugricity and rich languages ​​that can have been resources for many modern Indian languages ​​such as Latin is the source for the European language as fragmentary and Spain.
"[ 0.          0.          0.         ... -0.0085004  -0.0078432
 -0.00869644]",On-track Medical staffs sent to local hospital and then he gave up the eahough
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.18762255e-03
  4.45246696e-05 -1.27160549e-03]",A result of participation and lawers bring the people to the execution of the legitory leezy solisor and the lawyers that have been delivered to the illegal tasks in the Greek legal soil.
"[ 0.          0.          0.         ... -0.00060344 -0.0009774
 -0.00040662]",Although telens acknowledge their religion but they considers their faith different from Hindufute.
[0.         0.         0.         ... 0.0074892  0.0068441  0.00676084],David Headie's schouting and information collecting Pakistaniist tribe enables the camping by LSarer-A-Taiwar.
"[ 0.          0.          0.         ... -0.00096262 -0.00090641
 -0.0010376 ]",Traditional medieval Castle has been bored a lot of mass of masculions in a lot of mansion in a mass of groom social gathering.
[0.         0.         0.         ... 0.0007863  0.00074285 0.00086045],With Pauting Fewer ReM at night you really feel elevated and your body is underestnled to be recovering that is enough to be a problem.
"[ 0.          0.          0.         ... -0.00059128 -0.00041717
 -0.00036919]",The National Congress of Brazil's Congresses 10 years of time to or such civil marriage is now esselmes in the Rio D Grand Do Sierre dishes control
"[ 0.          0.          0.         ... -0.00104672 -0.00149167
 -0.00141364]",The different of the doma is to grow out of the security and the various possible separate separate separate separate vows.
[0.         0.         0.         ... 0.00016618 0.0001505  0.00012416],If you perform some basic decigions of prisoners will soon perish perplete
"[ 0.          0.          0.         ... -0.00011653 -0.00034142
 -0.0006904 ]",The Dowa is controlled to the Dowa of $ 1200 Anonyan company of 1200 Anonyan company used in this action as in the information of the British newspaper Galide.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.26120377e-05
 7.99894333e-05 9.06586647e-05]",We call this process to be invention in place of invention which means the structure race of the new race is an important part of an invenial consequence and evolution.
"[ 0.          0.          0.         ... -0.00971276 -0.00921381
 -0.01037252]",2004 Olympic's winner winner is Amir Khan said I think women should not fight it was my opinion
"[ 0.          0.          0.         ... -0.00102228 -0.00096941
 -0.00136346]",Golf is a game in which players to kill the ball and use clubs to throw the ball.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.06155872e-04
 9.22679901e-05 1.08301640e-04]",Station of station. The display describes the Old Capital Radha theater friend as a new and factory.
[0.         0.         0.         ... 0.00023854 0.00029325 0.00014919],When the day-riding the hills include fewer distance less than a mile that can be found in a day
"[ 0.          0.          0.         ... -0.00018853 -0.00027096
 -0.00029051]",Another one's wife's famous Greekbands is well known for relationship with
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.93986702e-05
 -1.02937222e-04 -6.27040863e-05]",Like a great deal of injury wasn't reported but at least five people in the scene during expulsion.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.13162804e-04
 -1.43468380e-04  5.90682030e-05]",Two light's beams are built towards the sky
"[ 0.00000000e+00  2.38418579e-07  1.13248825e-06 ... -8.87691975e-04
 -4.21822071e-04 -1.07091665e-03]",Shell Latin is from the seala that means the little room
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.29315662e-04
  1.18255615e-04  8.86917114e-05]",Siripern said in a reporter conference that thank those who released to those who had been a guilty.
"[ 0.          0.          0.         ... -0.00075787 -0.00056714
 -0.00036877]",The road was temporarily closed when an emergency was out of red woor tt
[0.         0.         0.         ... 0.00347871 0.00260901 0.00227946],The state of Ezekidarian is performed to be made of a new bird species on the site of Ezekidorian Galapagos.
[0.         0.         0.         ... 0.00574678 0.00578833 0.00612825],Passeners can see in the days of day and pass the dies that cause water tools or other things.
"[ 0.          0.          0.         ... -0.00270957 -0.00262952
 -0.00292146]",If a man's weight in a catchy if 200 pound 90 km.The momper is about 36 ponds 16 Kg.Will be aThat is why the minister also recognies you.
"[ 0.          0.          0.         ... -0.00260586 -0.00246376
 -0.00214833]","Anything that world have place is can only be able to reduce the creeth only, for production, the new method of production has developed to reduce the owestens."
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.17232513e-07
 -1.19209290e-07  4.76837158e-07]","Ear towest net is a national beauty in the remote right? And Elishous, the head of regute is attentive"
"[ 0.          0.          0.         ... -0.0051055  -0.00469482
 -0.00507194]",The report was stated that the test scores have increased and accused of the internal research that the school had not taken on this problem.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  4.77433205e-05
 -7.71284103e-05 -2.01940536e-04]",OPEC tells in its most recent monthly report that the minimum level exceeds 2.8 million barrels per day at two decades.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 9.11951065e-06
 8.94069672e-06 1.00731850e-05]",Inhert runcry goes out of blood in the middle and locked involving in the seashangable paradester you are called the small numbers in the cultivation.
[0.         0.         0.         ... 0.00019723 0.00018173 0.00019431],The consignment of the Fashion of Parwayian world was being judged as a Fashion hydar of Europe.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  9.53674316e-07
 -1.68681145e-05 -4.20212746e-05]",The most authors attempted to make extensive impact on the effort of the staffon calebar's news of the Curbarter.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.57356262e-05
 -1.50799751e-05 -1.84774399e-05]",Wagnewage was built in England at the early 16th century
[0.         0.         0.         ... 0.00267851 0.00178879 0.00214845],The luck and thin wall that's not able to stop a uncomfortable attack for a long time.
"[ 0.          0.          0.         ... -0.00083601 -0.00099838
 -0.00130534]",A English Alemi's movement of a English astream of Jehymia horax after her year after her
"[ 0.          0.          0.         ... -0.00010794 -0.00012296
 -0.00017357]",The report was stated that the test scores have increased and accused of the internal research that the school had not taken on this problem.
"[ 0.          0.          0.         ... -0.00039715 -0.00023687
 -0.00043505]",Like a great deal of injury wasn't reported but at least five people in the scene during expulsion.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  8.95261765e-05
 -3.05175781e-05 -6.97374344e-06]",Maryland transport authorization of Maryland transport Authorization FBI's requisite when the officers are uncertain
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.66849995e-04
  8.25524330e-05 -4.14609909e-04]",In most spaces in most spaces in place and the steel cables in the more step space places a supporting rake
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.23653221e-05
 2.34246254e-05 2.79545784e-05]",Everlest New Assision of the Barabmisymismims there is no man inside the electrial museum.
[0.         0.         0.         ... 0.00382936 0.00210142 0.00214779],Can specify product according to necessitate but not to make most of the performances have no or slight impact on most of the performance.
"[ 0.          0.          0.         ...  0.0005641  -0.00064176
  0.000673  ]","The note of more than 1 million people have more than 5,000 different languages."
"[ 0.          0.          0.         ...  0.00119662 -0.00054848
  0.00091153]",13-year-old motorcycle racer's Pritter's Pritter's Pretter's Pretter's Pretter Levi Daughter died in the accident.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.94907188e-05
  3.04579735e-05 -2.98023224e-07]",The Sitena is the only range station that provides the hot meal facilitation of La Laan San Pedreillo and Los Paltos food services.
[0.         0.         0.         ... 0.00024855 0.00027728 0.00021535],"Some hotel have a lot of history of the golden taxheon of the sea, and it is the second world forepart of the 21st century."
"[ 0.          0.          0.         ... -0.00011826  0.00023842
 -0.00024557]",Alusces individuals and actions in the institution of trying to quess his requestions about how to evaluate questionstions
"[ 0.          0.          0.         ... -0.0027433  -0.0031364
 -0.00362122]",The preparer is what or 30 people used to adaptivate this attack to protect themselves on the scene from the scene and protest themselves.
"[-5.96046448e-08  5.96046448e-08 -5.96046448e-08 ... -4.53853607e-03
 -4.09215689e-03 -4.47869301e-03]",It needs to be earned from the light to return to her former energy level.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.33786011e-05
  3.74078751e-04 -4.88162041e-05]",Walking was the first known transport range of homo im accord with a period of a three million ramber of a million marriage was started to walk straight i
"[ 0.          0.          0.         ...  0.00641495  0.02148092
 -0.00311828]",The lions are like leopards and as far as Jansj build.The same is only roaring only these four slain adorns.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.06096268e-05
 -1.02519989e-05 -1.24573708e-05]",Acting thoughts are problem soling and gsates a variety of ideas or field to search for solutions.
"[ 0.          0.          0.         ...  0.0006091  -0.0002538
  0.00068641]",It's hard to estimate the weered effect on the United States or Circle from this Preamed Landoff.
[0.         0.         0.         ... 0.00374329 0.00455701 0.00483191],"According to the latest bulletin, the inhabiting the sea is found that tsunami was created some specific tsunami activities near the gego Palm and New"
"[ 0.          0.          0.         ... -0.00028276  0.00013679
 -0.00071412]",The World financial situation young business tells that the financial system is part of the economy of the economy of the economy.
[0.         0.         0.         ... 0.0006758  0.0006054  0.00048935],The job culture of Japanese standards is more predicted and formal that western people may have been used to
"[ 0.          0.          0.         ... -0.0002079  -0.00019664
 -0.00021827]",The verification checkpoints are also too much more taffapints on the next period of September 11
[0.         0.         0.         ... 0.00469297 0.00444317 0.00511879],"In the morning of the morning will go to the river between the chief attacker power to start attack and then under 2 groups of men, with 1,000 men under 2 groups of men will lead under Slvin."
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.59280205e-05
 2.41398811e-05 3.08156013e-05]",Trafalgar square by crossing the best Whitehal by crossing the best Whitehol and Hold up Aldwerone through Kingswe and Holding Holdwhne with Kingswe and Holding their spring sessions in the rungit.
"[ 0.00000000e+00 -5.96046448e-08  5.96046448e-08 ... -5.33354282e-03
 -4.59253788e-03 -4.60571051e-03]",The World financial situation young business tells that the financial system is part of the economy of the economy of the economy.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.37226486e-05
 6.37173653e-05 8.23140144e-05]",The natural reasons can be present and present the old manner and present the northeated with these cases
"[ 0.          0.          0.         ... -0.00072718 -0.00032586
 -0.0008201 ]",In 1957 Lexembourgen Organization of Laxerman Organization of Organization who is known as European union today.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.97887421e-05
 1.91926956e-05 2.08616257e-05]",The pastime was launched in front of the width hall in 11:00 UTC + 1 in front of the government hall of the government-protection stream.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.60949135e-04
 -4.73260880e-05 -9.67383385e-05]",If you cam out of calming caams or stamp that you will quarrel and avoid quarreliness and such humph.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.01268291e-04
 6.96778297e-05 1.53899193e-04]",The Chinese News Again Chinese Geneshya reported a raid.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -5.10036945e-04
  3.01063061e-04 -6.69956207e-05]",The S. During the Election of Election that the mother in the crisis can leave the country and escaped the country.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.31130219e-05
 1.03116035e-05 1.68085098e-05]",No one in the apartment was not 1
